2025-01-01T02:02:02.922226  17159	19.018	19.031	22.806	23.128	18.212	27.158	23.370	23.934	21.355	30.945	50.225	50.242	21.634	2500.034	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:04.122320  17160	19.018	19.029	22.806	23.128	18.293	27.158	23.289	23.612	21.516	30.945	50.227	50.323	21.634	2502.873	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:05.322244  17161	19.179	19.044	22.886	23.289	18.454	27.560	23.289	23.773	21.597	31.267	50.229	50.161	21.795	2464.687	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:06.522336  17162	19.260	19.066	22.806	23.370	18.374	27.560	23.289	23.692	21.355	30.784	50.214	50.242	22.037	2410.150	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:07.722326  17163	19.018	19.061	22.806	23.209	18.051	27.480	22.967	23.209	21.758	31.267	50.217	50.161	21.795	2422.141	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:08.922371  17164	18.938	19.049	22.967	23.128	18.293	27.238	23.289	23.692	21.678	31.267	50.219	50.161	21.876	2452.798	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:10.122400  17165	19.018	19.046	22.725	22.967	18.454	27.399	23.289	23.451	21.436	31.026	50.221	50.081	21.876	2459.907	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:11.322526  17166	19.099	19.051	22.806	23.048	18.212	27.158	23.289	23.289	21.355	31.348	50.223	50.161	21.956	2446.093	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:12.522486  17167	19.018	19.048	22.484	22.967	18.212	27.560	23.289	23.531	21.436	31.106	50.217	50.242	22.198	2454.113	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:13.722564  17168	19.099	19.053	22.806	23.209	18.293	27.319	23.289	23.612	21.678	30.784	50.220	50.242	22.117	2440.795	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:14.922571  17169	19.099	19.057	22.645	23.048	18.293	27.560	23.370	23.370	21.678	31.348	50.222	50.242	22.198	2428.902	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:16.122618  17170	18.938	19.046	22.725	23.128	18.212	27.319	23.370	23.773	21.758	30.703	50.224	50.242	22.279	2458.855	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:17.322719  17171	19.179	19.059	22.725	23.209	18.293	27.560	23.370	23.531	21.597	31.106	50.226	50.242	22.279	2424.442	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:18.522815  17172	18.938	19.047	22.806	23.209	18.293	27.399	23.370	23.692	21.436	31.106	50.227	50.161	22.279	2454.923	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:19.722750  17173	18.857	19.028	22.564	23.128	18.212	27.319	23.451	23.853	21.516	30.945	50.221	50.242	22.359	2502.277	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:20.922860  17174	19.099	19.035	22.725	22.967	18.132	27.480	23.451	23.370	21.516	31.106	50.223	50.242	22.359	2483.744	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:22.123014  17175	18.857	19.017	22.725	23.048	18.132	27.319	23.370	23.370	21.516	30.864	50.201	50.161	22.601	2528.568	0	0	0	0.00	-135.000	-135.000	225.000	36.527
2025-01-01T02:02:23.323066  17176	19.018	19.017	22.886	23.048	18.132	27.319	23.370	23.773	21.597	30.784	50.205	50.242	22.601	2527.798	0	0	0	0.00	-135.000	-135.000	225.000	36.527
